ID,ObLophari,Gorki,Azovi,Ovgort,Muzhi,Shurishakri,Pitlyar,ObPitlyar,Katrovozh,ObKatrovozh,Salehard,Labytnagi,Harsaim,Aksarka,Beloyarsk,ObBeloyarsk,Salemal,ObBeloyarsk_2,Panaevsk,Kutopugan,ObKutopugan,YarSale,ObYarSale,Nyda,ObYarSale_2,NewPort,ObNyda,MysKamenniy,Nahodka,Antipauta,ObAntipauta,ObMuzhi,Schuchie,ZeleniyYar,Samburg,SunaySale,Nori,Seyaha,ObSeyaha,Vosyahovo,ObVosyahovo,Lophari
ObYarSale_2,340553.558912796,351306.123197324,370408.713763783,415805.128000968,351230.927509966,299237.906675473,279491.928557482,272945.936518347,251525.371320336,248881.561514303,225267.976948883,225481.600033835,193784.485662047,170373.979623752,151059.645550201,185177.003829933,107013.388078186,130506.070288752,68146.6742682591,79667.7722238597,78926.7226395166,33713.8537162662,62869.025085564,61490.4475638021,0,107875.222641842,34937.3185014916,196969.252419911,272785.44900282,328155.347492419,245552.359235086,357389.692472447,134612.283502013,189588.747943265,289112.294916189,14183.5755874401,73005.8930391958,368753.664766955,370973.636831492,345707.626737464,346627.43905649,338551.513548073
NewPort,442110.401016787,451044.156482492,470857.952683963,513543.962540373,445589.37155742,388725.196504531,372097.644224711,359491.514974185,335451.941508298,333127.294365152,304670.948350543,302445.504468854,275202.206220682,255305.298379603,228435.386327382,264867.976621243,193432.082656433,213713.917564874,162255.242975118,186760.505380295,183745.097639554,133234.329726807,162812.734690101,114906.543880926,107875.222641842,0,120859.978268415,91149.0399747287,193628.756249245,221209.17044089,139725.615712533,453974.354961944,190307.490366016,279951.638496875,238040.999680177,113364.691057275,164138.694582631,277220.469707083,276161.769330391,437295.401145145,439391.008611005,440449.830785257
ObNyda,347818.870697909,360260.455969903,378523.827504241,425948.836156926,364426.611706698,316074.238850908,294743.182412652,291753.879142188,271982.387618774,269238.495778741,248217.504229355,249374.363954932,216683.329411255,192437.354924917,176980.258377253,209037.445808968,131524.804880306,155059.593264467,92147.9958827509,85397.5157615942,90436.6767241078,60447.0759798359,82991.5120775312,32364.7670828166,34937.3185014916,120859.978268415,0,212008.674858636,262305.76549561,334363.825252727,260564.621793605,368917.929651126,166658.906816029,208161.074850758,268807.431760148,47489.2930011189,44277.3839027018,392394.790972578,393284.762172008,360749.942632034,360925.688184905,345468.951289937
MysKamenniy,520372.618345876,527375.853109798,547710.690287834,587270.581291142,516957.274328473,457003.407389851,443290.17919545,426193.484961203,400936.544985838,398930.883408487,368131.791475781,364299.816174162,341502.296228902,324971.559927285,295158.641660898,330593.698752842,267999.084281774,284966.825656004,242982.087395015,273795.725677954,268938.603720981,218327.722156213,246120.047435496,204244.329166758,196969.252419911,91149.0399747287,212008.674858636,0,182528.204185306,144597.381097318,48687.2460720395,527255.104117639,248584.652358188,352126.187734905,253724.788133889,200343.392356149,255172.268136017,194794.026663623,190794.419260805,506363.589533318,509445.264139429,519084.292930499
Nahodka,610102.747684513,622249.410445676,640718.952863654,687562.896378986,623969.780341012,571494.762238656,552215.52555705,544214.801143742,521588.581241414,519071.354498316,492754.607911673,491492.031926021,462064.716514637,440141.352935229,416286.257274303,452374.998852994,376332.231276963,398734.737879609,339639.250842516,347160.822213546,350042.451327221,305797.89647178,335623.886856316,234264.584240028,272785.44900282,193628.756249245,262305.76549561,182528.204185306,0,156077.299447753,190823.597653128,629730.29986662,382712.97741784,461597.108664454,86541.7578388565,284347.204414051,288319.691116655,338624.183506432,326535.261257054,618406.560824597,619405.535525174,607770.669363122
Antipauta,661873.128599156,669784.270084928,689920.996332852,730661.90927053,660856.338306655,601329.267049971,587125.174658558,570645.764180226,545452.74693988,543424.815853329,512711.992720922,508896.738793222,485878.14597263,468837.854084028,439377.295039572,475002.610357425,410347.884746538,428345.711022917,382389.090941084,407632.322457355,404952.7801341,354416.531117577,383785.042602597,317001.002300452,328155.347492419,221209.17044089,334363.825252727,144597.381097318,156077.299447753,0,109561.494840303,670706.874528477,393182.023860719,495534.491052144,242067.20082614,334508.433008354,373086.921151374,203737.926104407,187786.968182858,650639.425989169,653578.166346939,660384.916630595
ObAntipauta,565391.775075541,571691.322810033,592164.900620735,630471.918480329,559481.810482577,498638.60829919,486055.719565905,467424.802874806,441896.276683364,440020.953966349,408633.585654269,404260.821930779,383247.29053312,367990.182674503,337539.059358375,372251.484499594,313028.519689152,328866.460302158,289811.017192781,321928.446741626,316684.227261353,266228.542120823,293527.050197615,251870.445157588,245552.359235086,139725.615712533,260564.621793605,48687.2460720395,190823.597653128,109561.494840303,0,570456.721182236,289034.771488304,395750.470436951,270809.344913146,248633.701402584,303545.952215683,157576.636093885,150427.008144061,548064.429869206,551505.474168908,564236.765862945
ObMuzhi,48629.5142346879,28649.1677048877,39191.5478705235,60026.7035275622,19140.2841741517,78580.4425745649,84751.6580166499,109727.907934933,134887.448086196,135943.900976406,168203.568596237,174883.694884636,188531.742504437,202474.052685589,233062.366427587,199535.575232491,260856.368434459,242381.047917433,292827.786882201,283525.701908656,279721.453292355,325251.057926743,294984.739195838,399458.020983403,357389.692472447,453974.354961944,368917.929651126,527255.104117639,629730.29986662,670706.874528477,570456.721182236,0,283397.126820528,175184.309408998,635007.152781892,346742.365964504,353108.709440668,637289.463446617,648094.149853142,40180.6737500624,31976.6365624673,52644.3156384515
Schuchie,284514.794202199,287730.395654626,308486.893185718,343153.169697804,271333.535663307,209777.012703612,198645.468823862,178421.661299139,152861.853390453,151000.254863477,119680.039219298,115717.642143997,94913.6643675553,83798.0104888681,52411.1932775099,83890.684872771,59738.5631625763,55941.695464225,83156.7627191246,126224.482805834,111835.817824003,106877.25165483,96181.0800706616,196034.994772424,134612.283502013,190307.490366016,166658.906816029,248584.652358188,382712.97741784,393182.023860719,289034.771488304,283397.126820528,0,112956.32151675,414802.152658166,120530.079170002,188443.415894807,359842.108909033,368828.773223496,259185.349376745,262871.149857668,284060.471207276
ZeleniyYar,171844.979782725,176278.446889693,196913.861496028,235173.494803285,165762.868904638,109910.651357733,92151.918914181,83659.0692833869,64726.9011091109,61900.6363203833,50824.9109522465,56862.2512745815,31736.6423541079,29163.635505241,60585.0650511077,37801.7266249088,86575.1010694557,67196.7522843701,121973.463561148,127598.864450925,118648.471213492,156074.09145043,127045.190506564,240386.87114857,189588.747943265,279951.638496875,208161.074850758,352126.187734905,461597.108664454,495534.491052144,395750.470436951,175184.309408998,112956.32151675,0,476720.642533044,177381.188806406,205368.543566178,472702.419449896,481785.091215032,157598.276735249,159459.612001655,171261.361421475
Samburg,609377.335905349,623790.430859113,640785.338594759,690236.429211656,631798.668186545,584862.18928382,563275.824430174,560375.808972836,539966.373818116,537268.32725555,514373.130205044,514545.178398363,482869.474750355,459267.612419635,439759.474547651,474277.0748603,396125.297550264,419604.034524717,357055.460800994,352952.383871942,359182.168564078,322710.925262603,350114.970915591,236939.618164492,289112.294916189,238040.999680177,268807.431760148,253724.788133889,86541.7578388565,242067.20082614,270809.344913146,635007.152781892,414802.152658166,476720.642533044,0,302570.673452895,282407.783319305,422923.88350267,411570.283747584,629076.126878981,628930.389831798,606587.799175896
SunaySale,331248.715986183,341446.550002538,360777.475747126,405486.613770055,340113.13076989,287215.875992606,267928.602250976,260472.33951441,238698.077254502,236081.640211499,211946.224617216,211977.771117055,180528.930342539,157363.499978172,137315.240184092,171743.232727476,93718.1502444007,117083.162648355,55460.7147279966,73624.291086838,70575.4641938678,21519.0598421109,51767.3585701563,75508.0473928532,14183.5755874401,113364.691057275,47489.2930011189,200343.392356149,284347.204414051,334508.433008354,248633.701402584,346742.365964504,120530.079170002,177381.188806406,302570.673452895,0,81296.1734763921,367082.859025507,370035.56288685,334089.259844077,335209.635119581,329363.07648472
Nori,327093.802854328,341384.739735969,358442.664786037,407848.943075056,350808.076535402,308068.383044427,284933.967629076,287002.531659258,270082.966847656,267250.144584695,250734.618827176,253378.16245679,220042.431269148,195427.899350044,186744.78788503,214178.656041011,141856.140515299,163787.648478657,106258.334563855,78040.2121794303,89133.4407948906,84326.4316655542,93903.4131602535,56646.3252700721,73005.8930391958,164138.694582631,44277.3839027018,255172.268136017,288319.691116655,373086.921151374,303545.952215683,353108.709440668,188443.415894807,205368.543566178,282407.783319305,81296.1734763921,0,436670.659203864,437529.616945492,349626.011351469,348802.129994415,324368.357738911
Seyaha,643520.116481801,645128.553756661,665866.571548723,695495.268342111,622883.453889378,559734.240496003,553686.725275562,527973.721212643,502489.141392872,501358.79359925,469088.476385129,462494.953057936,451385.857776328,443544.705731043,412245.329714575,440759.69056501,403353.741854201,411868.022664272,392924.229104734,434460.826832912,425433.340378242,379423.982581737,400688.225537881,391740.990007103,368753.664766955,277220.469707083,392394.790972578,194794.026663623,338624.183506432,203737.926104407,157576.636093885,637289.463446617,359842.108909033,472702.419449896,422923.88350267,367082.859025507,436670.659203864,0,19318.1112430297,607453.612428174,612673.946525999,643284.425760073
ObSeyaha,653094.842893619,655237.253876472,675998.283656421,706631.757160153,634008.549971006,570899.973077056,564146.983122687,539077.422146106,513481.979139416,512270.061199728,479936.905322327,473536.023792816,461330.025372634,452625.548777177,421221.585801213,450602.392047869,410427.029217853,419886.373621135,398270.59018544,438742.478203533,430212.620295407,383255.291187732,405533.800134167,391037.084636527,370973.636831492,276161.769330391,393284.762172008,190794.419260805,326535.261257054,187786.968182858,150427.008144061,648094.149853142,368828.773223496,481785.091215032,411570.283747584,370035.56288685,437529.616945492,19318.1112430297,0,618945.093869981,623999.890204041,652752.603320787
Vosyahovo,82414.5133436033,65819.3052366686,79334.3367578319,89114.5155843031,21040.6584412073,49425.862236421,66225.942786725,80925.3677016167,106701.3326203,108357.370924506,140432.718522474,146009.42880702,164909.221594866,182318.284695283,211262.281177641,175868.410695018,244125.800419611,223670.615626776,278994.434085882,276125.347926992,270392.477561711,312615.775577303,282838.634599844,392236.388201961,345707.626737464,437295.401145145,360749.942632034,506363.589533318,618406.560824597,650639.425989169,548064.429869206,40180.6737500624,259185.349376745,157598.276735249,629076.126878981,334089.259844077,349626.011351469,607453.612428174,618945.093869981,0,8307.59638492647,85901.0977307521
ObVosyahovo,74468.8732066714,57567.4661100653,71083.1519652925,83110.9111035666,12861.7351058461,53365.3239197636,67426.5671224503,85205.5932240551,110993.86991178,112494.983792997,144763.680514224,150651.287247756,168260.07609137,184878.563086047,214288.756268202,179263.065168739,246032.00782455,225993.283327659,280305.613473873,276028.603057421,270700.770040044,313707.487762919,283782.004726315,392239.003320622,346627.43905649,439391.008611005,360925.688184905,509445.264139429,619405.535525174,653578.166346939,551505.474168908,31976.6365624673,262871.149857668,159459.612001655,628930.389831798,335209.635119581,348802.129994415,612673.946525999,623999.890204041,8307.59638492647,0,78022.5772947583
Lophari,4111.68615377504,25015.7176788349,34834.2547907948,86811.1572396912,67513.552139721,103877.316218979,96117.4630721827,128698.541460079,149858.184985403,149922.529827596,179656.309718245,187624.623096535,192307.168298708,200336.21836725,231804.596332218,202718.41161278,251228.352832089,236241.312176563,278246.297721657,260919.013665029,259638.762623071,308286.46646251,278108.377820162,374421.847436793,338551.513548073,440449.830785257,345468.951289937,519084.292930499,607770.669363122,660384.916630595,564236.765862945,52644.3156384515,284060.471207276,171261.361421475,606587.799175896,329363.07648472,324368.357738911,643284.425760073,652752.603320787,85901.0977307521,78022.5772947583,0
